recipient_region,recipient_region_number,yandex_id
АДЫГЕЯ РЕСПУБЛИКА,1.0,42
АЛТАЙ РЕСПУБЛИКА,4.0,43
АЛТАЙСКИЙ КРАЙ,22.0,1
АМУРСКАЯ ОБЛАСТЬ,28.0,2
АРХАНГЕЛЬСКАЯ ОБЛАСТЬ,29.0,3
АСТРАХАНСКАЯ ОБЛАСТЬ,30.0,4
БАШКОРТОСТАН РЕСПУБЛИКА,2.0,44
БЕЛГОРОДСКАЯ ОБЛАСТЬ,31.0,5
БРЯНСКАЯ ОБЛАСТЬ,32.0,6
БУРЯТИЯ РЕСПУБЛИКА,3.0,45
ВЛАДИМИРСКАЯ ОБЛАСТЬ,33.0,7
ВОЛГОГРАДСКАЯ ОБЛАСТЬ,34.0,8
ВОЛОГОДСКАЯ ОБЛАСТЬ,35.0,9
ВОРОНЕЖСКАЯ ОБЛАСТЬ,36.0,10
ДАГЕСТАН РЕСПУБЛИКА,5.0,46
ДОНЕЦКАЯ НАРОДНАЯ РЕСПУБЛИКА,93.0,
ЕВРЕЙСКАЯ АВТОНОМНАЯ ОБЛАСТЬ,79.0,11
ЗАБАЙКАЛЬСКИЙ КРАЙ,75.0,12
ИВАНОВСКАЯ ОБЛАСТЬ,37.0,13
ИНГУШЕТИЯ РЕСПУБЛИКА,6.0,47
ИРКУТСКАЯ ОБЛАСТЬ,38.0,14
КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА,7.0,48
КАЛИНИНГРАДСКАЯ ОБЛАСТЬ,39.0,15
КАЛМЫКИЯ РЕСПУБЛИКА,8.0,49
КАЛУЖСКАЯ ОБЛАСТЬ,40.0,16
КАМЧАТСКИЙ КРАЙ,41.0,17
КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА,9.0,50
КАРЕЛИЯ РЕСПУБЛИКА,10.0,51
КЕМЕРОВСКАЯ ОБЛАСТЬ,42.0,18
КИРОВСКАЯ ОБЛАСТЬ,43.0,19
КОМИ РЕСПУБЛИКА,11.0,52
КОСТРОМСКАЯ ОБЛАСТЬ,44.0,20
КРАСНОДАРСКИЙ КРАЙ,23.0,21
КРАСНОЯРСКИЙ КРАЙ,24.0,22
КРЫМ РЕСПУБЛИКА,91.0,53
КУРГАНСКАЯ ОБЛАСТЬ,45.0,23
КУРСКАЯ ОБЛАСТЬ,46.0,24
ЛЕНИНГРАДСКАЯ ОБЛАСТЬ,47.0,25
ЛИПЕЦКАЯ ОБЛАСТЬ,48.0,26
ЛУГАНСКАЯ НАРОДНАЯ РЕСПУБЛИКА,94.0,
МАГАДАНСКАЯ ОБЛАСТЬ,49.0,27
МАРИЙ ЭЛ РЕСПУБЛИКА,12.0,54
МОРДОВИЯ РЕСПУБЛИКА,13.0,55
МОСКВА,77.0,28
МОСКОВСКАЯ ОБЛАСТЬ,50.0,29
МУРМАНСКАЯ ОБЛАСТЬ,51.0,30
НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ,83.0,31
НИЖЕГОРОДСКАЯ ОБЛАСТЬ,52.0,32
НОВГОРОДСКАЯ ОБЛАСТЬ,53.0,33
НОВОСИБИРСКАЯ ОБЛАСТЬ,54.0,34
ОМСКАЯ ОБЛАСТЬ,55.0,35
